Distance_deg,Encoding_Epochs,Bias_pct,Bias_deg,SEM_deg
20,50,-21.000000000000004,3.567716373205185,0.5747009061282041
45,50,-30.0,6.656796468496323,0.7767119457849232
90,50,16.0,-2.1445971083641053,1.1173327838198592
135,50,29.0,-4.476294862031937,0.5794526673665135
20,100,-31.0,4.045431407690049,0.43856267345657585
45,100,-5.0,1.7984675109386443,0.839648855451293
90,100,45.0,-11.466992089748382,0.6603562992370127
135,100,46.0,-7.907493214607239,0.441390380495341
20,150,-25.0,3.0865455436706544,0.5075140403340227
45,150,2.0,-0.7025074911117554,0.9473139249453562
90,150,49.0,-12.057605390548707,0.5690831615897728
135,150,48.0,-7.7905292057991025,0.3799335844409652
20,200,-16.0,1.8391359639167786,0.4991443728632515
45,200,26.0,-7.382144694328308,1.0332142099651138
90,200,50.0,-13.0293874168396,0.5351196578750544
135,200,48.0,-5.931669833660126,0.3817451626205582
