N,w_emp,CSD_emp,w_sem,CSD_sem
1,0.9895437486353771,0.04781354298906707,0.009976515941598024,0.0030879530773937065
2,0.99999,0.13835188372717916,0.0028630212467053886,0.010088971027758086
4,0.9059501085886281,0.24476508093835556,0.015699194339911703,0.012132059499485544
6,0.7836340234774847,0.3602615290565064,0.019933369423433274,0.01713698253927867
