Model,k,n,neg_loglik,AIC,BIC,AICc,delta_AIC,delta_BIC
IL,3,2100,1832.5534108843312,3671.1068217686625,3688.055899639797,3671.118272150342,203.77894582518502,198.1292532014736
SA,3,2100,1864.467098453651,3734.934196907302,3751.8832747784368,3734.9456472889815,267.6063209638246,261.9566283401132
EP,3,2100,2039.8915211176677,4085.7830422353354,4102.73212010647,4085.794492617015,618.455166291858,612.8054736681461
VP,4,2100,1729.6639379717387,3467.3278759434775,3489.9266464383236,3467.3469690222364,0.0,0.0
