trial,A_post_cueA,B_post_cueA,other_post_cueA,A_post_cueB,B_post_cueB,other_post_cueB
0,14.097503662109375,125.94985961914062,23.919219970703125,9.08355712890625,23.665733337402344,23.417823791503906
1,4.551519393920898,2.6713027954101562,15.097492218017578,18.590518951416016,24.732589721679688,20.111427307128906
2,5.7325897216796875,143.72145080566406,5.236766815185547,8.740936279296875,2.6852340698242188,5.7381591796875
3,12.08355712890625,1.8412246704101562,91.8843994140625,17.097503662109375,9.189414978027344,13.667128562927246
4,10.58773422241211,5.95263671875,13.972145080566406,11.590518951416016,2.9442901611328125,16.980499267578125
5,127.28412628173828,26.676876068115234,14.770191192626953,130.29248046875,25.674091339111328,16.274368286132812
6,1.5236711502075195,87.49859285354614,95.48329329490662,3.529242515563965,4.757652282714844,35.81755495071411
7,37.334266662597656,25.50416398048401,64.05570840835571,56.38718795776367,33.52645683288574,57.036213397979736
8,22.832862854003906,124.75487518310547,33.7172737121582,20.827293395996094,81.63508987426758,40.23537826538086
9,60.11421203613281,51.55430603027344,45.35237121582031,71.14483642578125,31.498592853546143,38.99303436279297
10,8.0,164.97772216796875,14.491645812988281,8.0,163.9749298095703,13.990249633789062
11,177.3175506591797,35.618385314941406,10.721443176269531,175.66294860839844,34.6156005859375,10.98885726928711
12,23.56545639038086,42.36212158203125,10.114203453063965,32.590518951416016,34.33983612060547,16.130916595458984
13,3.050140380859375,15.99163818359375,43.949851989746094,3.050140380859375,28.025070190429688,38.434539794921875
14,25.025070190429688,12.938720703125,31.3607177734375,34.050140380859375,5.919219970703125,30.357940673828125
15,16.590518951416016,11.225631713867188,32.89275598526001,23.610027313232422,3.2033462524414062,29.383005142211914
16,13.662948608398438,8.713088989257812,83.47074890136719,17.674091339111328,14.729804992675781,87.18941116333008
17,31.24512481689453,13.983291625976562,3.1448497772216797,22.220062255859375,3.0640716552734375,17.183837890625
18,21.06964111328125,20.65737533569336,29.477718353271484,123.35376739501953,10.629520416259766,33.99024963378906
19,10.345409393310547,35.33705139160156,22.830093383789062,48.45126724243164,28.317550659179688,37.90250587463379
20,30.701950073242188,11.314765930175781,104.5793809890747,27.693588256835938,15.325908660888672,105.08077430725098
21,26.532028198242188,45.3843994140625,22.53899312019348,33.55152130126953,34.35376739501953,30.56127119064331
22,39.57937812805176,10.34262466430664,25.376047134399414,53.618385314941406,4.325908660888672,17.353761672973633
23,169.30641174316406,48.649017333984375,17.314767837524414,172.31476593017578,41.6295166015625,21.5236759185791
24,23.55152130126953,20.501378417015076,40.46798038482666,20.543163299560547,12.479115962982178,40.46796798706055
25,9.108642578125,88.09471130371094,16.838436126708984,8.105850219726562,71.04736328125,15.005573272705078
26,77.27854919433594,16.676876068115234,6.700553894042969,82.29248046875,12.665733337402344,3.1908035278320312
27,0.7465133666992188,178.16712951660156,3.9888534545898438,14.785507202148438,171.1476287841797,4.99163818359375
28,22.094711303710938,161.30919647216797,19.188020706176758,21.091934204101562,18.913650512695312,16.17966079711914
29,15.830078125,43.12535095214844,22.501392364501953,21.84679412841797,35.10307312011719,23.002784729003906
30,0.1337127685546875,38.85514831542969,24.60167694091797,1.1364898681640625,37.85236358642578,25.103073120117188
31,47.21727752685547,14.729804992675781,37.29526138305664,57.24513244628906,7.710304260253906,42.81058883666992
32,21.250694274902344,3.718658447265625,17.735374450683594,25.2618408203125,0.7103042602539062,14.72701644897461
33,31.17827606201172,22.57659912109375,25.937320709228516,134.46519470214844,26.58773422241211,29.91782319545746
34,34.01393127441406,23.91644287109375,17.5,45.04457092285156,18.902496337890625,16.497207641601562
35,156.76322174072266,67.64902114868164,13.264625549316406,125.67687606811523,53.61002731323242,33.821733474731445
36,42.67409133911133,14.091934204101562,95.72701454162598,104.8468017578125,8.075210571289062,53.941497802734375
37,4.6211700439453125,77.34262466430664,14.162956237792969,14.649017333984375,53.27577209472656,20.118389129638672
38,31.827293395996094,22.108642578125,41.49443054199219,38.84679412841797,16.091934204101562,43.5
39,137.89971923828125,2.8830108642578125,12.9930419921875,137.89971923828125,4.888580322265625,13.995826721191406
40,32.08634948730469,68.01950073242188,31.917823791503906,30.080780029296875,27.908065795898438,43.449859619140625
41,17.33148193359375,18.662948608398438,5.206123352050781,19.337051391601562,16.65737533569336,5.70751953125
42,24.793869018554688,41.18663787841797,23.481895446777344,29.80779266357422,37.17549133300781,23.983287811279297
43,2.272979736328125,19.679664611816406,22.0069637298584,5.281341552734375,21.68523406982422,20.110024452209473
44,25.481901168823242,29.50419270992279,30.32451820373535,29.493021726608276,24.490264892578125,37.84541130065918
45,16.593303680419922,19.671302795410156,49.316162109375,25.61838150024414,20.674087524414062,47.31058883666992
46,29.933151245117188,24.938720703125,17.448471069335938,46.980499267578125,7.891357421875,16.41225814819336
47,19.97772216796875,29.75208282470703,112.12673950195312,23.988861083984375,21.72980499267578,112.12674331665039
48,18.456836700439453,132.58216285705566,21.428972244262695,21.465192794799805,134.5877342224121,19.924795150756836
49,18.515315055847168,18.590518951416016,36.889976501464844,27.54037857055664,17.58773422241211,43.90947604179382
