Encoding_Epochs,Distance_deg,Mean_Bias_pct,SEM_Bias_pct,Mean_Bias_deg,SEM_Bias_deg
50,20,-32.4,1.454494948618095,4.399698274374009,0.1999576967504064
50,45,-28.6,1.9787762772874438,6.554061210870742,0.2057706918587819
50,90,18.2,2.5551690528982394,-3.34581107544899,0.5056223952629469
50,135,27.0,1.2018504251546631,-4.650785886287689,0.3424556552450579
100,20,-30.0,1.7638342073763935,4.066996844291687,0.19585453172534856
100,45,-17.0,2.6874192494328497,3.5637377886772157,0.5758004550513962
100,90,38.8,1.9136933459209764,-9.50400040602684,0.39291940917378987
100,135,45.8,0.6289320754704402,-6.756936488628388,0.3108837455934286
150,20,-19.6,2.6297443897754693,2.8010025079250336,0.36399251891754875
150,45,8.0,1.9776529298921768,-2.1973481323719026,0.46565162556224304
150,90,46.8,0.7423685817106694,-12.47692466211319,0.2951115399149373
150,135,48.0,0.5962847939999438,-7.56231234383583,0.30633730784137164
200,20,-6.8,1.9367785395111932,1.4296484808921814,0.18942470195976638
200,45,17.6,2.4729649321321876,-4.8457551715374,0.5890594013375311
200,90,48.6,0.42687494916218993,-12.14731514763832,0.27663111744675856
200,135,46.6,0.7333333333333333,-6.619610516071319,0.17230291065845976
